发布时间,点赞数,评论数,转发数,内容
Thu Jul 21 21:46:04 +0800 2022,1,0,0,转发微博
Thu Jul 21 20:36:49 +0800 2022,2,0,1,"【 农旅互联促进邻封发展，邮我长行助推乡村振兴 】
——院坝宣推行动，助力乡村振兴
7月21日，重庆邮电大学自动化学院“邮我长行”成员团来到长寿社区，为了解民情民意、宣传三下乡活动的同时考察调研当地乡村振兴情况。
成员团们自制宣传扇子，并用扇子摆成“邮”与“柚”字，制作柚文化宣传片，并来 ...展开"
Wed Jul 20 22:06:42 +0800 2022,1,0,1,"【农旅互联促进邻封发展，邮我长行助推乡村振兴】
——喜迎二十大，青春向党访基层
为迎接党的二十大胜利召开，7月20日，重庆邮电大学自动化学院“邮我长行”成员团前往长寿社区在各个街道进行宣讲，给当地百姓介绍关于党的二十大召开的大致时间、地点、意义，鼓励群众关注二十大的召开，积极为二十大 ...展开"
Wed Jul 20 22:06:42 +0800 2022,1,0,1,"【农旅互联促进邻封发展，邮我长行助推乡村振兴】
——喜迎二十大，青春向党访基层
为迎接党的二十大胜利召开，7月20日，重庆邮电大学自动化学院“邮我长行”成员团前往长寿社区在各个街道进行宣讲，给当地百姓介绍关于党的二十大召开的大致时间、地点、意义，鼓励群众关注二十大的召开，积极为二十大 ...展开"
Tue Jul 19 21:27:10 +0800 2022,1,0,0,转发微博
Tue Jul 19 21:04:36 +0800 2022,2,0,1,"镜头中的三下乡超话【农旅互联促进邻封发展，邮我长行助推乡村振兴】
——邻封“邮”情，一路“柚”你
七月十九日，“邮我长行”队来到邻封镇邻丰村村民委员会，通过对邻封村党支部书记、村委会主任郑友谊进行了采访，我们更深入地了解了邻封村在经济发展、乡村振兴、支部党建、乡村振兴方面 ...展开"
Tue Jul 19 16:35:11 +0800 2022,1,0,0,转发微博
Tue Jul 19 15:12:14 +0800 2022,1,0,1,"［邮我长行三下乡小队］
——邻封有为开新方
七月十八日，“邮我长行”队先后去了邻封镇人民政府。中午十三时，队员们对邻封镇的副镇长兼农业专家蔡吉进行了采访。了解到长寿柚的发展历程以及邻封发展的近况。其中，邻封百姓的勤劳淳朴、邻封前辈的奉献精神让人感动；邻封镇当地农业和旅游互相 ...展开"
Sun Jul 17 22:58:49 +0800 2022,3,0,0,转发微博
Sun Jul 17 22:58:44 +0800 2022,0,0,0,转发微博
Sun Jul 17 22:11:24 +0800 2022,4,0,2,2022年7月17日，重庆邮电大学自动化学院乡村振兴促进团“邮我长行”队抵达长寿区邻封镇，开启了为期六天的暑期“三下乡”实践活动。七月的夏风暖暖吹过，我们将在夏日的热情中调研邻封以农为旅、以旅为业的产业模式，“一村一品”产业计划，实地考察邻封镇的果园经营模式，学习邻封镇在技术引进和扩宽 ...展开
Fri Jul 23 14:18:33 +0800 2021,0,0,0,
Thu Jul 22 20:37:16 +0800 2021,2,0,0,转发微博
Thu Jul 22 20:37:12 +0800 2021,1,0,0,转发微博
Wed Jul 21 18:46:28 +0800 2021,4,0,1,"#三下乡##重庆邮电大学暑期三下乡##大学生活#
水光潋滟晴方好，山色空蒙雨亦奇。河堰村的天空漂浮着朵朵线条分明的白云，在去往河堰村的路途上也不时看到被微风吹拂着的池塘。抵达村委会后，村支书文书记热情的招待了我们，并在会议室举行了一个座谈会，使我们小队了解到了河堰村的基本情况。也让我们 ...展开"
Tue Jul 20 15:14:25 +0800 2021,0,0,0,
Tue Jul 20 12:04:48 +0800 2021,12,0,4,邮我一定行队今天抵达了保合村村史馆啦！队员们参观了村史馆，进行了拍照记录，采访村史馆的工作人员，了解到了保和村的历史文化。队员们一边欣赏着村史馆的陈列品，一边被保合村的历史文化所熏陶着。艳阳高照，湖水清漾，踩着微风，准备继续前进！#三下乡##重庆邮电大学暑期三下乡##重庆邮电大学# ...展开
Null,Null,Null,Null,Null
Null,Null,Null,Null,Null
Fri Sep 20 11:22:04 +0800 2019,3,3,0,大爱了
